valid,0.9779333333333333
unique@1000,1.0
unique@10000,0.999
FCD/Test,0.10254970842781574
SNN/Test,0.6259063309350216
Frag/Test,0.9994370914936364
Scaf/Test,0.9376529917121961
FCD/TestSF,0.6052349662243444
SNN/TestSF,0.579258409160068
Frag/TestSF,0.9982866229665134
Scaf/TestSF,0.06053602362254551
IntDiv,0.8563249896666361
IntDiv2,0.8502572761346038
Filters,0.9971027336560093
logP,0.0009820353126781534
SA,8.195841584379693e-05
QED,2.1504651951352594e-06
NP,0.0004701956519909123
weight,0.15153971208451367
Novelty,0.7000650395371923
