valid,0.9753333333333334
unique@1000,1.0
unique@10000,0.998
FCD/Test,0.32079972085631425
SNN/Test,0.6084000552548012
Frag/Test,0.9965090967536151
Scaf/Test,0.923884203889246
FCD/TestSF,0.8470239528365084
SNN/TestSF,0.5627791531333064
Frag/TestSF,0.9949257445278806
Scaf/TestSF,0.06843667369867934
IntDiv,0.8577499941449698
IntDiv2,0.8521249966718608
Filters,0.996514012303486
logP,0.005902324694883276
SA,0.00932747553463853
QED,1.7252274863387845e-05
NP,0.001667420514852913
weight,36.04456322175565
Novelty,0.760479659153381
