FCD/Test,0.2714631082625658
FCD/TestSF,0.7996149192858439
Filters,0.9716022099447513
Frag/Test,0.9986838808238739
Frag/TestSF,0.9971786438889244
IntDiv,0.857377232872716
IntDiv2,0.8512217402739983
NP,0.033807269485648384
Novelty,0.9479008411457368
QED,7.508854037894044e-05
SA,0.015072326390480506
SNN/Test,0.5371755120954022
SNN/TestSF,0.5126690699914762
Scaf/Test,0.8913439230102231
Scaf/TestSF,0.086148388233935
logP,0.009440307246285418
unique@1000,1.0
unique@10000,0.9973
valid,0.8987685381355932
weight,50.260877905340976
