valid,0.9690666666666666
unique@1000,1.0
unique@10000,0.9989
FCD/Test,0.08442294535740302
SNN/Test,0.6226198364922599
Frag/Test,0.9995705328124271
Scaf/Test,0.9330795380449654
FCD/TestSF,0.5411822473384547
SNN/TestSF,0.5765966770511344
Frag/TestSF,0.998155100643949
Scaf/TestSF,0.06164548807066772
IntDiv,0.8564782601508171
IntDiv2,0.8505246042589243
Filters,0.9962850853054486
logP,0.0017906521538706421
SA,0.0002099188557952436
QED,4.509636995567168e-06
NP,0.0003064063825157781
weight,0.5063628335763042
