valid,0.8990850197021305
unique@1000,1.0
unique@10000,0.9978
FCD/Test,0.2751143360282384
SNN/Test,0.5395366630976727
Frag/Test,0.9987875140395125
Scaf/Test,0.8891680570044662
FCD/TestSF,0.7765694538046546
SNN/TestSF,0.5136317048643004
Frag/TestSF,0.9969318428026518
Scaf/TestSF,0.10665877186835115
IntDiv,0.856351093440853
IntDiv2,0.8502297760554358
Filters,0.968801069677611
logP,0.006095545976080086
SA,0.010394038614665146
QED,7.413241645747373e-05
NP,0.024506954278156745
weight,45.53067373002796
Novelty,0.951646052090729
