valid,0.9884333333333334
unique@1000,1.0
unique@10000,0.9992
FCD/Test,0.06154314846217801
SNN/Test,0.6109322168497566
Frag/Test,0.9998584589601514
Scaf/Test,0.9269369070902226
FCD/TestSF,0.49667316314591403
SNN/TestSF,0.5709328586010451
Frag/TestSF,0.9984430405277632
Scaf/TestSF,0.10704205284066559
IntDiv,0.8566349892115843
IntDiv2,0.8507144311923907
Filters,0.995986915320541
logP,0.0033074256221934384
SA,0.00032149688057120374
QED,7.742980851089404e-06
NP,6.146647074489753e-05
weight,4.789472591904541
Novelty,0.8231676409961816
