valid,0.9999666677777408
unique@1000,1.0
unique@10000,0.9998
FCD/Test,0.3838869942666179
SNN/Test,0.5412596841146549
Frag/Test,0.996866591761081
Scaf/Test,0.8966328330336786
FCD/TestSF,0.9261078194339376
SNN/TestSF,0.5140442525848746
Frag/TestSF,0.9947355281286372
Scaf/TestSF,0.11156017037308041
IntDiv,0.8574780048637051
IntDiv2,0.8517117063044632
Filters,0.9749666666666666
logP,0.09077306245228335
SA,0.19720758057449767
QED,0.005616032928554724
weight,2.919637189496086
Novelty,0.9195544141680285
