valid,0.206233
unique@1000,0.974000
unique@10000,0.925489
FCD/Test,5.863241
SNN/Test,0.514338
Frag/Test,0.981552
Scaf/Test,0.545648
FCD/TestSF,6.556414
SNN/TestSF,0.495181
Frag/TestSF,0.978357
Scaf/TestSF,0.120966
IntDiv,0.876153
IntDiv2,0.866255
Filters,0.957653
logP,0.138690
SA,0.093389
QED,0.009542
NP,0.183780
weight,7849.597278
Novelty,0.972930
